filename,schema_version,date,parliament_no,session_no,period_no,chamber,page_no,proof
1998-07-10,2.0,1998-07-10,38,1.0,7.0,SENATE,5447.0,0.0
1998-07-15,2.0,1998-07-15,38,1,7,REPS,6085,0.0
1998-11-10,2.0,1998-11-10,39,1.0,1.0,SENATE,1.0,0.0
1998-11-10,2.0,1998-11-10,39,1,1,REPS,1,0.0
1998-11-11,2.0,1998-11-11,39,1.0,1.0,SENATE,57.0,0.0
1998-11-11,2.0,1998-11-11,39,1,1,REPS,51,0.0
1998-11-12,2.0,1998-11-12,39,1.0,1.0,SENATE,205.0,0.0
1998-11-12,2.0,1998-11-12,39,1,1,REPS,243,0.0
1998-11-23,2.0,1998-11-23,39,1.0,1.0,SENATE,355.0,0.0
1998-11-23,2.0,1998-11-23,39,1,1,REPS,353,0.0
1998-11-24,2.0,1998-11-24,39,1.0,1.0,SENATE,481.0,0.0
1998-11-24,2.0,1998-11-24,39,1,1,REPS,471,0.0
1998-11-25,2.0,1998-11-25,39,1.0,1.0,SENATE,565.0,0.0
1998-11-25,2.0,1998-11-25,39,1,1,REPS,567,0.0
1998-11-26,2.0,1998-11-26,39,1.0,1.0,SENATE,691.0,0.0
1998-11-26,2.0,1998-11-26,39,1,1,REPS,725,0.0
1998-11-30,2.0,1998-11-30,39,1.0,1.0,SENATE,819.0,0.0
1998-11-30,2.0,1998-11-30,39,1,1,REPS,875,0.0
1998-12-01,2.0,1998-12-01,39,1.0,1.0,SENATE,947.0,0.0
1998-12-01,2.0,1998-12-01,39,1,1,REPS,997,0.0
1998-12-02,2.0,1998-12-02,39,1.0,1.0,SENATE,1025.0,0.0
1998-12-02,2.0,1998-12-02,39,1,1,REPS,1087,0.0
1998-12-03,2.0,1998-12-03,39,1.0,1.0,SENATE,1157.0,0.0
1998-12-03,2.0,1998-12-03,39,1,1,REPS,1265,0.0
1998-12-07,2.0,1998-12-07,39,1.0,1.0,SENATE,1271.0,0.0
1998-12-07,2.0,1998-12-07,39,1,1,REPS,1437,0.0
1998-12-08,2.0,1998-12-08,39,1.0,1.0,SENATE,1389.0,0.0
1998-12-08,2.0,1998-12-08,39,1,1,REPS,1555,0.0
1998-12-09,2.0,1998-12-09,39,1.0,1.0,SENATE,1483.0,0.0
1998-12-09,2.0,1998-12-09,39,1,1,REPS,1657,0.0
1998-12-10,2.0,1998-12-10,39,1.0,1.0,SENATE,1615.0,0.0
1998-12-10,2.0,1998-12-10,39,1,1,REPS,1811,0.0
1999-02-08,2.0,1999-02-08,39,1,2,REPS,2013,0.0
1999-02-09,2.0,1999-02-09,39,1,2,REPS,2179,0.0
1999-02-10,2.0,1999-02-10,39,1,2,REPS,2283,0.0
1999-02-11,2.0,1999-02-11,39,1,2,REPS,2455,0.0
1999-02-15,2.0,1999-02-15,39,1.0,2.0,SENATE,1801.0,0.0
1999-02-15,2.0,1999-02-15,39,1,2,REPS,2661,0.0
1999-02-16,2.0,1999-02-16,39,1.0,2.0,SENATE,1947.0,0.0
1999-02-16,2.0,1999-02-16,39,1,2,REPS,2829,0.0
1999-02-17,2.0,1999-02-17,39,1.0,2.0,SENATE,2033.0,0.0
1999-02-17,2.0,1999-02-17,39,1,2,REPS,2947,0.0
1999-02-18,2.0,1999-02-18,39,1.0,2.0,SENATE,2171.0,0.0
1999-02-18,2.0,1999-02-18,39,1,2,REPS,3145,0.0
1999-03-08,2.0,1999-03-08,39,1.0,2.0,SENATE,2301.0,0.0
1999-03-08,2.0,1999-03-08,39,1,2,REPS,3291,0.0
1999-03-09,2.0,1999-03-09,39,1.0,2.0,SENATE,2445.0,0.0
1999-03-09,2.0,1999-03-09,39,1,2,REPS,3431,0.0
1999-03-10,2.0,1999-03-10,39,1.0,2.0,SENATE,2545.0,0.0
1999-03-10,2.0,1999-03-10,39,1,2,REPS,3541,0.0
1999-03-11,2.0,1999-03-11,39,1.0,2.0,SENATE,2691.0,0.0
1999-03-11,2.0,1999-03-11,39,1,2,REPS,3731,0.0
1999-03-22,2.0,1999-03-22,39,1.0,2.0,SENATE,2851.0,0.0
1999-03-22,2.0,1999-03-22,39,1,2,REPS,3885,0.0
1999-03-23,2.0,1999-03-23,39,1.0,2.0,SENATE,2981.0,0.0
1999-03-23,2.0,1999-03-23,39,1,2,REPS,4015,0.0
1999-03-24,2.0,1999-03-24,39,1.0,2.0,SENATE,3069.0,0.0
1999-03-24,2.0,1999-03-24,39,1,2,REPS,4163,0.0
1999-03-25,2.0,1999-03-25,39,1.0,2.0,SENATE,3221.0,0.0
1999-03-25,2.0,1999-03-25,39,1,2,REPS,4363,0.0
1999-03-29,2.0,1999-03-29,39,1.0,2.0,SENATE,3353.0,0.0
1999-03-29,2.0,1999-03-29,39,1,2,REPS,4539,0.0
1999-03-30,2.0,1999-03-30,39,1.0,2.0,SENATE,3465.0,0.0
1999-03-30,2.0,1999-03-30,39,1,2,REPS,4655,0.0
1999-03-31,2.0,1999-03-31,39,1.0,2.0,SENATE,3545.0,0.0
1999-03-31,2.0,1999-03-31,39,1,2,REPS,4805,0.0
1999-04-19,2.0,1999-04-19,39,1.0,2.0,SENATE,3693.0,0.0
1999-04-20,2.0,1999-04-20,39,1.0,2.0,SENATE,3811.0,0.0
1999-04-21,2.0,1999-04-21,39,1.0,2.0,SENATE,3957.0,0.0
1999-04-22,2.0,1999-04-22,39,1.0,2.0,SENATE,4089.0,0.0
1999-04-23,2.0,1999-04-23,39,1.0,2.0,SENATE,4213.0,0.0
1999-04-27,2.0,1999-04-27,39,1.0,2.0,SENATE,4273.0,0.0
1999-04-28,2.0,1999-04-28,39,1.0,2.0,SENATE,4401.0,0.0
1999-04-29,2.0,1999-04-29,39,1.0,2.0,SENATE,4515.0,0.0
1999-04-30,2.0,1999-04-30,39,1.0,2.0,SENATE,4637.0,0.0
1999-05-11,2.0,1999-05-11,39,1.0,2.0,SENATE,4713.0,0.0
1999-05-11,2.0,1999-05-11,39,1,3,REPS,4997,0.0
1999-05-12,2.0,1999-05-12,39,1.0,2.0,SENATE,4803.0,0.0
1999-05-12,2.0,1999-05-12,39,1,3,REPS,5137,0.0
1999-05-13,2.0,1999-05-13,39,1.0,2.0,SENATE,4931.0,0.0
1999-05-13,2.0,1999-05-13,39,1,3,REPS,5339,0.0
1999-05-14,2.0,1999-05-14,39,1.0,2.0,SENATE,5063.0,0.0
1999-05-24,2.0,1999-05-24,39,1.0,2.0,SENATE,5127.0,0.0
1999-05-25,2.0,1999-05-25,39,1.0,2.0,SENATE,5245.0,0.0
