unique_id,name_id,state_abbrev,senator_from,senator_to,senator_end_reason,sec15_sel
Marriott1913,KSN,TAS,1953-07-01,1975-11-11,Retired,0.0
Marshall1960,00AOP,VIC,2002-07-01,2019-06-30,Resigned,0.0
Martin1960,275266,TAS,2018-02-09,2019-03-20,,0.0
Martyr1932,KNA,WA,1981-03-11,1983-02-04,Defeated,1.0
Marwick1895,KNC,WA,1936-08-19,1937-10-22,Defeated,1.0
Mason1926,L8O,NSW,1978-07-01,1987-06-05,Retired,0.0
Mason1962,84M,QLD,1999-07-01,2015-04-15,Resigned,0.0
MassyGreene1874,KNF,NSW,1923-10-17,1925-11-13,Term Expired,1.0
MassyGreene1874,KNF,NSW,1926-07-01,1938-06-30,Retired,0.0
Matheson1861,KSQ,WA,1901-03-29,1906-12-31,Retired,0.0
Mattner1893,KSS,SA,1944-10-10,1946-09-27,Defeated,1.0
Mattner1893,KSS,SA,1949-12-10,1968-06-30,Retired,0.0
Maughan1863,KSU,QLD,1913-07-01,1920-06-30,Defeated,0.0
Maunsell1922,KSW,QLD,1968-07-01,1981-06-30,Defeated,0.0
McAllister1973,121628,NSW,2015-05-06,,,1.0
McAuliffe1918,KSY,QLD,1971-07-01,1981-06-30,Retired,0.0
McBride1892,KOL,SA,1937-10-21,1944-06-30,Defeated,1.0
McCallum1892,KT8,NSW,1949-12-10,1962-06-30,Retired,0.0
McCarthy1970,122087,NT,2016-07-02,,,0.0
McClelland1915,5U4,NSW,1971-03-16,1978-07-21,Resigned,1.0
McClelland1926,KTA,NSW,1962-07-01,1987-01-23,Resigned,0.0
McColl1844,KQ4,VIC,1907-01-01,1914-09-05,Defeated,0.0
McDonald,123072,QLD,2019-07-01,,,0.0
McDougall1857,KTD,NSW,1910-07-01,1920-06-30,Defeated,0.0
McDougall1857,KTD,NSW,1922-12-16,1924-10-14,Died,0.0
McEwen1954,E5E,SA,2005-07-01,2016-07-02,Defeated,0.0
McGauran1957,WH4,VIC,1987-07-11,1990-06-30,Defeated,0.0
McGauran1957,WH4,VIC,1993-07-01,2011-06-30,Defeated,0.0
McGrath1974,217241,QLD,2014-07-01,,,0.0
McGregor1848,KTF,SA,1901-03-30,1914-08-13,Died,0.0
McHugh1887,KTH,SA,1923-07-01,1927-07-24,Died,0.0
McIntosh1925,KTJ,WA,1974-05-18,1987-06-05,Retired,0.0
McKellar1903,KTL,NSW,1958-11-22,1970-04-13,Died,0.0
McKenna1895,KTN,TAS,1944-07-01,1968-06-30,Retired,0.0
McKenzie1969,207825,VIC,2011-07-01,,,0.0
McKiernan1944,1I4,WA,1984-12-01,2002-06-30,Retired,0.0
McKim1965,JKM,TAS,2015-08-19,,,1.0
McKissock1872,KTP,VIC,1914-09-05,1917-06-30,Defeated,0.0
McLachlan1870,KTX,SA,1935-07-01,1947-06-30,Retired,0.0
McLachlan1872,KTR,SA,1926-02-24,1944-06-30,Retired,1.0
McLachlan1966,,SA,2020-02-06,,,
McLaren1921,KTZ,SA,1971-07-01,1983-02-04,Retired,0.0
McLean1937,3I4,NSW,1987-07-11,1991-08-23,Resigned,0.0
McLeay1892,KUA,SA,1935-07-01,1947-06-30,Defeated,0.0
McLeay1892,KUA,SA,1949-12-10,1955-09-14,Died,0.0
McLucas1958,84L,QLD,1999-07-01,2016-05-09,Retired,0.0
McMahon1967,282728,NT,2019-05-18,,,0.0
McManus1905,KUD,VIC,1956-07-01,1962-06-30,Defeated,0.0
McManus1905,KUD,VIC,1965-07-01,1974-05-18,Defeated,0.0
McMullan1947,5I4,ACT,1988-02-16,1996-02-06,Resigned,1.0
McMullin1900,KUH,NSW,1951-04-28,1971-06-30,Retired,0.0
Melzer1926,KUJ,VIC,1974-05-18,1981-06-30,Defeated,0.0
Messner1939,9I4,SA,1975-12-13,1990-04-17,Resigned,0.0
Millen1860,KUL,NSW,1901-03-29,1923-09-14,Died,0.0
Millen1877,KUP,TAS,1920-07-01,1938-06-30,Defeated,0.0
Milliner1911,KUS,QLD,1968-07-01,1975-06-30,Died,0.0
Milne1953,KA5,TAS,2005-07-01,2015-08-10,,0.0
Minchin1953,JX4,SA,1993-07-01,2011-06-30,Retired,0.0
Missen1925,KUU,VIC,1974-05-18,1986-03-30,Died,0.0
Molan1950,FAB,NSW,2017-12-22,2019-06-30,Defeated,0.0
Molan1950,FAB,NSW,2019-06-30,,,1.0
Mooney1880,KUY,NSW,1931-12-23,1932-06-30,Term Expired,1.0
Moore1956,00AOQ,QLD,2002-07-01,2019-06-30,Retired,0.0
Morris1903,KV9,QLD,1963-11-30,1968-06-30,Retired,0.0
Morris1936,GI4,NSW,1985-07-01,1990-06-30,Retired,0.0
Morrow1888,KVB,TAS,1947-07-01,1953-06-30,Defeated,0.0
Muir1980,250024,VIC,2014-07-01,2016-07-02,Defeated,0.0
Mulcahy1850,KVD,TAS,1904-01-01,1910-05-10,Defeated,0.0
Mulcahy1850,KVD,TAS,1919-01-15,1920-06-30,Retired,1.0
Mullan1871,KVH,QLD,1913-07-01,1917-06-30,Defeated,0.0
Mulvihill1919,KVK,NSW,1965-07-01,1983-02-04,Retired,0.0
Murphy1922,1L5,NSW,1962-07-01,1975-02-09,Resigned,0.0
Murphy1952,FX5,TAS,1993-07-01,2005-06-30,Defeated,0.0
Murray1906,JXC,TAS,1947-07-01,1951-03-19,Defeated,0.0
Murray1947,3M6,WA,1996-07-01,2008-06-30,Retired,0.0
Nash1890,JXE,WA,1943-08-21,1951-12-12,Died,0.0
Nash1965,E5G,NSW,2005-07-01,2017-10-27,Resigned,0.0
Neal1947,JXG,VIC,1980-03-11,1981-06-30,Defeated,1.0
Neal1963,B36,NSW,1994-03-08,1998-09-03,Resigned,1.0
Needham1872,JXJ,WA,1907-01-01,1920-06-30,Defeated,0.0
Needham1872,JXJ,WA,1923-07-01,1929-06-30,Defeated,0.0
Negus1912,JXM,WA,1971-07-01,1974-05-18,Defeated,0.0
Neild1846,JXT,NSW,1901-03-29,1910-06-30,Defeated,0.0
Nettle1973,00AOR,NSW,2002-07-01,2008-06-30,Defeated,0.0
Newlands1864,JXV,SA,1913-07-01,1932-05-20,Died,0.0
Newman1937,BE4,TAS,1986-03-13,2002-02-01,Resigned,1.0
Nicholls1894,JY6,SA,1944-07-01,1968-06-30,Retired,0.0
Oakes1861,JZM,NSW,1913-07-01,1914-09-05,Defeated,0.0
OBrien1951,8O6,TAS,1996-09-05,2011-06-30,Retired,1.0
OByrne1912,JYA,TAS,1947-07-01,1981-06-30,Retired,0.0
OChee1965,EU4,QLD,1990-05-08,1999-06-30,Defeated,1.0
OConnor1851,JYD,NSW,1901-03-29,1903-09-27,Resigned,0.0
OFlaherty1886,JYY,SA,1944-07-01,1962-06-30,Retired,0.0
Ogden1868,JZR,TAS,1923-07-01,1932-02-05,Died,0.0
OHalloran1893,JZ6,SA,1928-11-17,1935-06-30,Defeated,0.0
OKeefe1864,JZ9,TAS,1901-03-29,1906-12-31,Defeated,0.0
OKeefe1864,JZ9,TAS,1910-07-01,1920-06-30,Defeated,0.0
OLoghlin1852,JZC,SA,1907-07-11,1907-12-20,Voided,1.0
OLoghlin1852,JZC,SA,1913-07-01,1920-06-30,Defeated,0.0
OLoghlin1852,JZC,SA,1923-07-01,1925-12-04,Died,0.0
Olsen1945,DU4,SA,1990-05-07,1992-05-04,Resigned,1.0
ONeill1961,140651,NSW,2013-11-13,2014-06-30,Term Expired,1.0
ONeill1961,140651,NSW,2014-07-02,,,1.0
Ormonde1901,JZU,NSW,1958-07-30,1958-11-21,Term Expired,1.0
Ormonde1901,JZU,NSW,1959-07-01,1970-11-30,Died,0.0
OSullivan1900,JZI,QLD,1947-07-01,1962-06-30,Retired,0.0
OSullivan1957,247871,QLD,2014-02-11,2019-06-30,Defeated In Preselection,1.0
OSullivan1986,283585,WA,2019-07-01,,,0.0
Paltridge1910,JZY,WA,1951-04-28,1966-01-21,Died,0.0
Panizza1931,JI4,WA,1987-07-11,1997-01-31,Died,0.0
Parer1936,KI4,QLD,1984-11-22,2000-02-11,Resigned,1.0
Parry1960,E5V,TAS,2005-07-01,2017-11-02,,0.0
Paterson1987,144138,VIC,2016-03-09,,,1.0
Patrick1967,114292,SA,2017-11-14,,,0.0
Patterson1944,LI4,VIC,1987-07-11,2008-06-30,Retired,0.0
Payne1866,K09,TAS,1920-07-01,1938-06-30,Defeated,0.0
Payne1964,M56,NSW,1997-04-09,,,1.0
Pearce1870,K0F,WA,1901-03-29,1938-06-30,Defeated,0.0
Pearson1905,K0L,SA,1951-04-28,1961-09-11,Died,0.0
Peris1971,CDK,NT,2013-09-07,2016-05-09,Retired,0.0
Piesse1900,K0Q,WA,1949-12-10,1952-08-25,Died,0.0
Plain1868,K0S,VIC,1917-07-01,1923-06-30,Defeated,0.0
Plain1868,K0S,VIC,1925-08-25,1938-06-30,Defeated,1.0
Playford1837,K0X,SA,1901-03-30,1906-12-31,Defeated,0.0
Poke1906,K19,TAS,1956-07-01,1974-04-11,Retired,0.0
Polley1957,E5X,TAS,2005-07-01,,,0.0
Poulter1913,K1B,QLD,1962-07-01,1962-09-02,Died,0.0
Powell1942,OI4,VIC,1986-08-26,1993-06-30,Defeated,1.0
Power1883,K1D,NSW,1924-11-20,1925-01-13,Died,1.0
Poyser1915,K1F,VIC,1966-10-26,1975-11-11,Retired,1.0
Pratt1972,I0T,WA,2008-07-01,2014-06-30,Defeated,0.0
Pratt1972,I0T,WA,2016-07-02,,,0.0
Pratten1865,K1J,NSW,1917-07-01,1921-11-23,Resigned,0.0
Primmer1924,K1M,VIC,1971-07-01,1985-06-30,Retired,0.0
Prowse1905,K1R,WA,1962-07-01,1973-12-31,Resigned,0.0
Pulsford1844,K1U,NSW,1901-03-29,1910-06-30,Defeated,0.0
Puplick1948,TI4,NSW,1978-07-26,1981-06-30,Defeated,0.0
Puplick1948,TI4,NSW,1984-12-01,1990-06-30,Defeated,0.0
Quirke1950,ZS6,SA,1997-09-18,2000-08-15,Resigned,1.0
Rae1860,K1Z,NSW,1910-07-01,1914-09-05,Defeated,0.0
Rae1860,K1Z,NSW,1929-07-01,1935-06-30,Defeated,0.0
Rae1932,CAK,TAS,1968-07-01,1986-01-16,Resigned,0.0
Rankin1887,K2A,VIC,1949-12-10,1956-06-30,Retired,0.0
Rankin1908,K28,QLD,1947-07-01,1971-05-24,Resigned,0.0
Ray1947,UI4,VIC,1981-07-01,2008-05-05,Resigned,0.0
Ready1878,K2D,TAS,1910-07-01,1917-03-01,Resigned,0.0
Reid1842,K2Q,VIC,1903-01-21,1903-12-31,Retired,1.0
Reid1856,K2L,QLD,1917-07-01,1935-06-30,Retired,0.0
Reid1886,K2G,NSW,1949-12-10,1962-05-22,Died,0.0
Reid1933,K2J,WA,1974-01-16,1974-05-18,Defeated,1.0
ReidMargaret1935,VI4,ACT,1981-05-05,2003-02-14,Resigned,1.0
Rennick1970,283596,QLD,2019-07-01,,,0.0
Reynolds1941,XI4,QLD,1983-03-05,1999-06-30,Retired,0.0
Reynolds1965,250216,WA,2014-07-01,,,0.0
Rhiannon1951,CPR,NSW,2011-07-01,2018-08-15,,0.0
Rice1960,155410,VIC,2014-07-01,,,0.0
Richardson1949,4E4,NSW,1983-03-05,1994-03-25,Resigned,0.0
Ridgeway1962,8G6,NSW,1999-07-01,2005-06-30,Defeated,0.0
Ridley1909,K2N,SA,1959-07-01,1971-06-30,Retired,0.0
Roberts1955,266524,QLD,2016-07-02,2017-10-27,Ineligible,0.0
Roberts1955,266524,QLD,2019-07-02,,,
Robertson1882,K2S,WA,1949-12-10,1962-06-30,Retired,0.0
Robertson1929,K2U,NT,1975-12-13,1987-06-05,Retired,0.0
Robinson1877,K2X,SA,1928-04-18,1928-11-16,Defeated,1.0
Robinson1907,K37,WA,1952-09-30,1953-05-08,Defeated,1.0
Rocher1936,ZI4,WA,1978-07-01,1981-02-10,Resigned,0.0
Ronaldson1954,XT4,VIC,2005-07-01,2016-02-28,Resigned,0.0
Rowell1851,K3B,SA,1917-05-24,1923-06-30,Defeated,1.0
Russell1842,K3G,SA,1907-01-01,1912-06-28,Died,0.0
Russell1878,K3E,VIC,1907-01-01,1925-07-18,Died,0.0
Ruston1963,243273,SA,2012-09-05,,,1.0
Ryan1890,K3I,SA,1949-12-10,1959-06-30,Retired,0.0
Ryan1942,GD5,ACT,1975-12-13,1988-01-29,Resigned,0.0
Ryan1973,I0Q,VIC,2008-07-01,2021-10-13,Resigned,0.0
Sampson1882,K3L,TAS,1925-11-14,1938-06-30,Defeated,0.0
Sampson1882,K3L,TAS,1941-07-01,1947-06-30,Defeated,0.0
Sanders1932,1J4,TAS,1985-07-01,1990-03-01,Resigned,0.0
Sandford1895,K4S,VIC,1947-07-01,1956-06-30,Defeated,0.0
Sandford1895,K4S,VIC,1957-06-06,1966-10-22,Died,1.0
Santoro1956,BOT,QLD,2002-10-29,2007-04-11,Resigned,1.0
Sargood1834,K54,VIC,1901-03-29,1903-01-02,Died,0.0
Saunders1855,K5B,WA,1903-05-20,1903-12-31,Defeated,1.0
Sayers1845,K5F,QLD,1907-01-01,1913-06-30,Defeated,0.0
Scarr1969,282997,QLD,2019-07-01,,,0.0
Schacht1946,4J4,SA,1987-07-11,2002-06-30,Defeated,0.0
Scott1910,K5K,WA,1949-12-10,1971-06-30,Retired,0.0
Scott1920,K5H,NSW,1970-08-06,1970-11-20,Term Expired,1.0
Scott1920,K5H,NSW,1974-05-18,1985-06-30,Retired,0.0
Scullion1956,00AOM,NT,2001-11-10,2019-06-30,Retired,0.0
Senior1850,K5R,SA,1913-07-01,1923-06-30,Defeated,0.0
Seselja1977,HZE,ACT,2013-09-07,,,0.0
Seward1884,K5T,WA,1951-04-28,1958-07-23,Died,0.0
Shannon1862,K5V,SA,1912-07-31,1913-06-30,Defeated,1.0
Shannon1862,K5V,SA,1914-09-05,1920-06-30,Retired,0.0
Sheehan1885,K5X,VIC,1938-07-12,1940-09-20,Defeated,1.0
Sheehan1885,K5X,VIC,1944-07-01,1962-06-30,Retired,0.0
Sheil1929,BJ4,QLD,1974-05-18,1981-02-06,Resigned,0.0
Sheil1929,BJ4,QLD,1984-12-01,1990-06-30,Defeated,0.0
Sheldon1961,168275,NSW,2019-07-01,,,0.0
Sherrington1902,K5Z,QLD,1962-07-01,1966-03-16,Died,0.0
Sherry1955,ZW4,TAS,1990-07-01,2012-06-01,Resigned,0.0
Short1936,DJ4,VIC,1984-12-01,1997-05-12,Resigned,0.0
Sibraa1937,EJ4,NSW,1975-12-13,1978-06-30,,0.0
Sibraa1937,EJ4,NSW,1978-08-09,1994-02-01,Resigned,1.0
Siddons1927,EVL,VIC,1981-07-01,1983-02-04,Defeated,0.0
Siddons1927,EVL,VIC,1985-07-01,1987-06-05,Defeated,0.0
Siewert1961,E5Z,WA,2005-07-01,2021-09-06,Resigned,0.0
Sim1917,K69,WA,1964-11-26,1981-06-30,Retired,1.0
Simmonds1889,K6B,QLD,1949-12-10,1951-03-19,Retired,0.0
Simms1984,170166,SA,2015-09-22,2016-07-02,Defeated,1.0
Singh1972,M0R,TAS,2011-07-01,2019-06-30,,0.0
Sinodinos1957,BV7,NSW,2011-10-13,2019-11-11,Retired,1.0
Small1988,,WA,2020-11-25,,,1.0
Smith1969,241710,WA,2012-05-02,,,1.0
Smith1986,281603,SA,2019-07-01,,,0.0
SmithMiles1869,K6D,WA,1901-03-29,1906-12-31,Retired,0.0
Sowada1961,VC5,NSW,1991-08-29,1993-06-30,Defeated,1.0
Spender1975,244276,NSW,2019-03-20,2019-06-30,,0.0
Spicer1899,K6Z,VIC,1940-09-21,1944-06-30,,0.0
Spicer1899,K6Z,VIC,1949-12-10,1956-08-13,Resigned,0.0
Spindler1932,0X4,VIC,1990-07-01,1996-06-30,Retired,0.0
Spooner1897,K7A,NSW,1949-12-10,1965-07-14,Resigned,0.0
SteeleJohn1994,250156,WA,2017-11-10,,,0.0
Stephens1954,00AOS,NSW,2002-07-01,2014-06-30,Defeated,0.0
Sterle1960,E68,WA,2005-07-01,,,0.0
Stewart1850,K7D,QLD,1901-03-30,1917-06-30,Defeated,0.0
StLedger1859,K78,QLD,1907-01-01,1913-06-30,Defeated,0.0
Stoker1982,237920,QLD,2018-03-21,,,0.0
Stone1929,LJ4,QLD,1987-07-11,1990-03-01,Resigned,0.0
Storer1969,275424,SA,2018-02-16,2019-06-30,,0.0
Story1857,K7L,SA,1904-01-01,1917-04-03,Resigned,0.0
StottDespoja1969,3I6,SA,1995-11-29,2008-06-30,Retired,1.0
Styles1841,K7R,VIC,1901-03-29,1906-12-31,Defeated,0.0
Sullivan1942,3.00E+04,QLD,1974-05-18,1984-11-05,Resigned,0.0
Symon1846,K7V,SA,1901-03-30,1913-06-30,Defeated,0.0
Synon1959,FQ6,VIC,1997-05-13,1999-06-30,Defeated,1.0
Tambling1943,6E4,NT,1987-07-11,2001-11-09,Retired,0.0
Tangney1907,K7Y,WA,1943-08-21,1968-06-30,Defeated,0.0
Tate1894,K89,NSW,1949-12-10,1953-06-30,Retired,0.0
Tate1945,NJ4,TAS,1978-07-01,1993-07-05,Resigned,0.0
Tchen1941,86Y,VIC,1999-07-01,2005-06-30,Retired,0.0
Teague1944,PJ4,SA,1978-07-01,1996-06-30,Retired,0.0
Tehan1916,K8D,VIC,1975-12-13,1978-06-30,Defeated,0.0
Thistlethwaite1972,182468,NSW,2011-07-01,2013-08-09,Resigned,0.0
Thomas1863,K8L,NSW,1917-07-01,1923-06-30,Defeated,0.0
Thomas1863,K8L,NSW,1925-11-14,1929-06-30,Defeated,0.0
Thomas1936,K8H,WA,1975-12-13,1983-02-04,Defeated,0.0
Thompson1863,K8P,QLD,1922-12-16,1932-06-30,Defeated,0.0
Thorp1953,183342,TAS,2012-06-20,2014-06-30,Defeated,1.0
Thorpe1973,,VIC,2020-09-04,,,
Tierney1946,O15,NSW,1991-02-11,2005-04-14,Resigned,1.0
Tillem1974,249499,VIC,2013-08-21,2014-06-30,Defeated,1.0
Toohey1909,K8N,SA,1953-07-01,1971-06-30,Retired,0.0
Townley1934,K8R,TAS,1971-07-01,1987-06-05,Retired,0.0
Trenwith1846,K8T,VIC,1904-01-01,1910-06-30,Defeated,0.0
Troeth1940,GX5,VIC,1993-07-01,2011-06-30,Retired,0.0
Trood1948,E6A,QLD,2005-07-01,2011-06-30,Defeated,0.0
Turley1859,K8W,QLD,1904-01-01,1917-06-30,Defeated,0.0
Turnbull1908,K8Y,TAS,1962-07-01,1974-04-11,Retired,0.0
Uppill1876,K9I,SA,1935-07-01,1944-09-16,Resigned,0.0
Urquhart1957,231199,TAS,2011-07-01,,,0.0
Vallentine1946,IG4,WA,1985-07-01,1992-01-31,Resigned,0.0
Van,283601,VIC,2019-07-01,,,0.0
Vanstone1952,7E4,SA,1984-12-01,2007-04-26,Resigned,0.0
Vardon1843,K9T,SA,1907-01-01,1907-05-31,Voided,0.0
Vardon1843,K9T,SA,1908-02-15,1913-06-30,Defeated,0.0
Vardon1866,K9P,SA,1921-02-16,1921-08-04,,1.0
Vardon1866,K9P,SA,1921-08-09,1922-12-15,Defeated,1.0
Verran1856,K9Y,SA,1927-08-30,1928-11-16,Defeated,1.0
Vigor1939,KA8,SA,1984-12-01,1987-06-05,Defeated,0.0
Vincent1906,KAC,WA,1950-07-01,1964-11-09,Died,0.0
Wade1905,KAF,VIC,1956-07-01,1964-11-18,Died,0.0
Walker1841,KAH,NSW,1901-03-29,1913-06-30,Retired,0.0
Walsh1935,TJ4,WA,1974-05-18,1993-06-30,Retired,0.0
Walsh1971,252157,VIC,2019-07-01,,,0.0
Walters1925,UJ4,TAS,1975-12-13,1993-06-30,Retired,0.0
Wang1981,250045,WA,2014-07-01,2016-07-02,Defeated,0.0
Ward1872,KAJ,SA,1947-07-01,1951-04-28,Defeated,0.0
Wardlaw1888,KAL,TAS,1953-05-09,1962-06-30,Retired,0.0
Waters1977,192970,QLD,2011-07-01,2017-07-18,Resigned,0.0
Waters1977,192970,QLD,2018-09-06,,,0.0
Watson1870,070E,NSW,1914-09-05,1917-06-30,Defeated,0.0
Watson1937,VJ4,TAS,1978-07-01,2008-06-30,Retired,0.0
Watt1973,245759,QLD,2016-07-02,,,0.0
Webber1965,00AOT,WA,2002-07-01,2008-06-30,Defeated,0.0
Webster1925,KAS,VIC,1964-12-09,1980-01-28,Resigned,1.0
Webster1959,,VIC,2019-05-18,,,
Wedgwood1896,KAW,VIC,1949-12-10,1971-06-30,Retired,0.0
Wells1985,,QLD,2019-05-18,,,
West1947,1X4,NSW,1987-02-11,1987-06-05,Defeated,1.0
West1947,1X4,NSW,1990-07-01,2002-06-30,Retired,0.0
Wheeldon1929,CJO,WA,1965-07-01,1981-06-30,Retired,0.0
Wheelwright1953,RC6,NSW,1995-05-24,1996-06-30,Defeated,1.0
WhishWilson1968,195565,TAS,2012-06-20,,,1.0
Whiteside1902,KAZ,QLD,1962-10-09,1963-11-30,Defeated,1.0
Wilkinson1903,KB9,WA,1966-11-26,1974-04-11,Retired,0.0
Willesee1916,KBC,WA,1949-12-10,1975-11-11,Retired,0.0
Williams1955,I0V,NSW,2008-07-01,2019-06-30,Retired,0.0
Wilson1877,KBJ,SA,1920-07-01,1926-06-30,Defeated,0.0
Wilson1900,KBH,SA,1938-07-01,1944-06-30,Defeated,0.0
Withers1924,DV4,WA,1966-02-17,1966-11-26,Defeated,1.0
Withers1924,DV4,WA,1968-07-01,1987-06-05,Retired,0.0
Wong1968,00AOU,SA,2002-07-01,,,0.0
Wood1901,KBL,QLD,1949-12-10,1978-06-30,Retired,0.0
Wood1949,KBS,NSW,1987-07-11,1988-05-12,,0.0
Woodley1938,HX5,QLD,1993-07-01,2001-07-27,Resigned,0.0
WoodsRobert1947,1K4,NSW,1994-03-08,1997-03-07,Resigned,1.0
Wordsworth1894,KBU,TAS,1949-12-10,1959-06-30,Defeated,0.0
Wortley1959,E6C,SA,2005-07-01,2011-06-30,Defeated,0.0
Wriedt1927,ISW,TAS,1968-07-01,1980-09-25,Resigned,0.0
Wright1905,KBW,TAS,1949-12-10,1978-06-30,Retired,0.0
Wright1961,200287,SA,2011-07-01,2015-09-10,,0.0
Xenophon1959,8IV,SA,2008-07-01,2017-10-31,,0.0
Young1923,KBY,SA,1968-07-01,1983-02-04,Defeated,0.0
Zakharov1929,FE4,VIC,1983-03-05,1995-03-06,Died,0.0
Zeal1830,KC7,VIC,1901-03-29,1906-12-31,Retired,0.0
Bartlett1964,DT6,QLD,2017-11-09,2019-06-30,Defeated,
