unique_id,name_id,state_abbrev,senator_from,senator_to,senator_end_reason,sec15_sel
Calvert1940,5F4,TAS,1987-07-11,2007-08-29,Resigned,0.0
Cameron1857,K3S,TAS,1901-03-29,1903-12-31,Defeated,0.0
Cameron1857,K3S,TAS,1907-01-01,1913-06-30,Defeated,0.0
Cameron1878,L8E,VIC,1938-07-01,1962-06-30,Retired,0.0
Cameron1914,K3T,SA,1969-10-25,1978-06-30,Retired,0.0
Cameron1935,K3V,SA,1969-05-23,1969-10-25,Defeated,1.0
CameronDouglas1951,AI6,NSW,2008-07-01,2019-06-30,Retired,0.0
Campbell1943,NB5,NSW,1997-09-17,2008-06-30,Retired,1.0
Campbell1959,H15,WA,1990-05-16,2007-05-31,Resigned,1.0
Canavan1980,245212,QLD,2014-07-01,,,0.0
Cant1907,K3W,WA,1959-07-01,1974-04-11,Retired,0.0
Carr1947,WX4,NSW,2012-03-06,2013-10-24,Resigned,0.0
Carr1955,AW5,VIC,1993-04-28,,,1.0
Carrick1918,2U4,NSW,1971-07-01,1987-06-05,Retired,0.0
Carroll1872,K3X,WA,1926-07-01,1936-05-30,Died,0.0
Cash1970,I0M,WA,2008-07-01,,,0.0
Cavanagh1913,K6F,SA,1962-07-01,1981-06-30,Retired,0.0
Chamarette1948,SN5,WA,1992-03-12,1996-06-30,Defeated,1.0
Chamberlain1884,K6H,TAS,1951-04-28,1953-01-16,Died,0.0
Chandler1990,264449,TAS,2019-07-01,,,0.0
Chaney1941,EF4,WA,1974-05-18,1990-02-27,Resigned,0.0
Chapman1879,K6I,SA,1926-07-01,1931-03-14,Died,0.0
Chapman1949,FF4,SA,1987-07-11,2008-06-30,Defeated,0.0
Charleston1848,K6J,SA,1901-03-30,1903-12-31,Defeated,0.0
Chataway1864,K6L,QLD,1907-01-01,1913-06-30,Defeated,0.0
Cherry1965,00A9C,QLD,2001-07-31,2005-06-30,Defeated,1.0
Childs1934,IF4,NSW,1981-07-01,1997-09-10,Resigned,0.0
Chipp1925,3V4,VIC,1978-07-01,1986-08-18,Resigned,0.0
Chisholm1978,39801,QLD,2016-07-02,,,0.0
Ciccone1983,281503,VIC,2019-03-06,,,0.0
Clemons1862,K6M,TAS,1901-03-29,1914-09-05,Defeated,0.0
Clothier1877,K6N,WA,1938-07-01,1950-06-30,Defeated,0.0
Coates1944,LF4,TAS,1981-07-01,1996-08-20,Resigned,0.0
Cohen1918,K6R,VIC,1962-07-01,1969-10-07,Died,0.0
