date,name,order,speech_no,page_no,time_stamp,name_id,state,party,in_gov,first_speech,body,question,answer,q_in_writing,div_flag,gender,unique_id,interject,senate_flag,partyfacts_id
1992-02-25,Coulter Sen J.R.,2,2,9,,TF4,SA,AD,0,0,"I am personally rather dismayed that the Western Australian Government should essentially be thumbing its nose at this chamber. This chamber is comprised of 76 senators, not 75 senators. It requires the representation of senators from every State and this Senate is, therefore, deficient at the present time as a consequence of the Western Australian Government failing to make the proper appointment of a person who has been duly recommended by the party which obtained the necessary votes at the previous electionthe one which elected Jo Vallentine. I will be giving notice of a motion later that this Senate should condemn the Government of Western Australia for failing to carry through with the appointment of a replacement senator. Senator COULTER
I would remind Senator Kemp, who obviously knows very little history, that Senator Greenwood, on a previous occasion when the New South Wales Government failed to make an appointment, was very vociferous in his condemnation of the New South Wales Government for doing precisely what the Government of Western Australia is doing. I would remind members of the Government that at the same time, in 1970, Senator Murphy was also very outspoken in his criticism of the Government of New South Wales over its failure to appoint a replacement senator at that time. I believe that the Senate needs to take account of this failure and, as I will be moving shortly, to deprecate the actions of the Western Australian Government in thumbing its nose at this Senate and not, with some expedition, carrying out its function and filling that casual vacancy so that this Senate has its full complement of 76 senators.",0,0,0,0,,1992-02-25_00002,0,0,
1992-02-25,The PRESIDENT,6,4,,,10000,,,0,0,"The new system encompasses both the new loudspeakers as well as new microphones. The whole system has been exhaustively tested during the summer adjournment and today will be its first test under working conditions. The microphones are considerably more effective. However, I am advised that speech notes or other papers held in front of the microphones will noticeably reduce the quality of the sound output, and I suggest to honourable senators that they be conscious of this while becoming familiar with the new system. The system will be fine-tuned over the next few weeks as everyone concerned becomes more experienced in its operation. I ask that honourable senators bear with the sound engineers during this time. Any comments honourable senators may have on the level and quality of speech reinforcement will greatly assist the engineers with this fine-tuning. Such comments should be made to the Usher of the Black Rod, who will compile a report to the engineers.",0,0,0,0,,1992-02-25_00006,0,0,
1992-02-25,Button Sen The Hon J.N.,7,5,10,,4F4,VIC,ALP,1,0,"I further inform the Senate that the Minister for Shipping and Aviation, Senator Collins, will represent the Minister for the Arts, Sport, the Environment and Territories, the Minister for the Arts and Territories, including the Minister Assisting the Prime Minister for the Status of Women, and the Minister for Tourism in the Senate. Senator Collins will continue to represent the Minister for Aboriginal and Torres Strait Islander Affairs.",0,0,0,0,,1992-02-25_00007,0,0,
1992-02-25,Button Sen The Hon J.N.,9,7,10,,4F4,VIC,ALP,1,0,"In the  Government's view, there is a need and scope for the fiscal stimulus which the Government intends to provide. Fiscal stimulus will directly add to demand in the short run and get the economy moving again. Commentators and sections of the business community have almost unanimously called for such a stimulus and few of them are wedded, I suspect, to an ideology of excessive fiscal caution. I make the point to Senator Short that the OECD Economic Outlook recently noted the sustainability of Australia's fiscal position in maintaining its public sector debt to GDP ratio. As I hinted earlier, our Budget surpluses have earned us the ability to make tomorrow's statement and that statement will, of course, include some forecasts which Senator Short is now seeking that I make. If he waits until tomorrow, he will get the answer.",0,1,0,0,,1992-02-25_00009,0,0,
